ADDRESS,CITY,ZIP CODE,PHONE NUMBER,GEOMETRY,Apartment Complex Name
330 INGLESIDE DR,BATON ROUGE,70806,,POINT (-91.145586363336 30.445213350834),INGLESIDE APARTMENTS
499 S CAMPUS DR,BATON ROUGE,70803,,POINT (-91.172740783948 30.41185330229),"LOWERY, GEORGE H -EAST CAMPUS APARTMENTS"
4701 SOUTHPARK DR,BATON ROUGE,70816,,POINT (-91.058960144743 30.407344094398),SOUTHPARK APARTMENTS 2
801 N ARDENWOOD DR,BATON ROUGE,70806,,POINT (-91.128384521051 30.456725245645),DRAKES LANDING APARTMENTS
861 ARLINGTON AVE,BATON ROUGE,70806,,POINT (-91.158643423622 30.440526784717),APARTMENTS
1120 SPANISH TOWN RD,BATON ROUGE,70802,,POINT (-91.177609946927 30.454641365763),THE ELYSIAN APARTMENTS
10956 DARRYL DR,BATON ROUGE,70815,,POINT (-91.061255071532 30.469824774318),SHERWOOD OAKS APARTMENTS
11374 BARD AVE,BATON ROUGE,70815,,POINT (-91.057357618583 30.467400294423),PARK PLACE ON BARD APARTMENTS
12826 BROGDON LN,BATON ROUGE,70816,,POINT (-91.03808768839 30.403965304762),APARTMENTS
615 SPANISH TOWN RD,BATON ROUGE,70802,,POINT (-91.184196077988 30.454940135711),APARTMENTS
"6444 JONES CREEK RD, BLDG 4",BATON ROUGE,70817,,POINT (-91.019631174163 30.394472654991),IVY PARK APARTMENTS
694 N DONMOOR AVE,BATON ROUGE,70806,,POINT (-91.11818822837 30.455980121617),TWIN PEAKS APARTMENTS
7987 PECUE LN,BATON ROUGE,70809,,POINT (-91.040246847502 30.377372776665),TUSCANY VILLAS APARTMENTS (PECUE)
"5010 MANCUSO LN, BLDG 9",BATON ROUGE,70809,,POINT (-91.103541759644 30.398455138804),CITISCAPE APARTMENTS
"3002 MASON AVE, BLDG 139",BATON ROUGE,70805,,POINT (-91.160904121598 30.507157100483),MONTE SANO VILLAGE APARTMENTS
11376 BARD AVE,BATON ROUGE,70815,,POINT (-91.057233503849 30.467845152024),PARK PLACE ON BARD APARTMENTS
1341 N FOSTER DR,BATON ROUGE,70806,,POINT (-91.140285432327 30.460332780881),PROVINCIAL NORTH APARTMENTS
4205 FORD ST,BATON ROUGE,70807,,POINT (-91.151508712 30.520107017846),THE RESERVE AT HOWELL PLACE APARTMENTS
2290 MANHATTAN ST,BAKER,70714,,POINT (-91.163626466137 30.598502531159),BAKER PLAZA APARTMENTS
"12400 JEFFERSON HWY, BLDG 8",BATON ROUGE,70816,,POINT (-91.044997811734 30.393540574314),JEFFERSON LAKES APARTMENTS
5010 CLAYCUT RD,BATON ROUGE,70806,,POINT (-91.137389250336 30.441173889585),PATRICIAN APARTMENTS
12845 COUNTRY RIDGE AVE,BATON ROUGE,70816,,POINT (-91.038154594665 30.40366942893),SOUTH SHERWOOD OAKS APARTMENTS
5350 GROOM RD,BAKER,70714,,POINT (-91.141994930962 30.586379682362),CAMELLIA TRACE APARTMENTS
4685 SOUTHPARK DR,BATON ROUGE,70816,,POINT (-91.058885544436 30.40778157732),APARTMENTS
1233 MOUNT PLEASANT-ZACHARY RD,ZACHARY,70791,,POINT (-91.210433656909 30.654529511617),AUDUBON PARK APARTMENTS
9113 GREAT SMOKY AVE,BATON ROUGE,70814,,POINT (-91.087048924524 30.476367482437),APARTMENTS
4888 S SHERWOOD FOREST BLVD,BATON ROUGE,70816,,POINT (-91.052640712405 30.409171296529),21 SOUTH AT THE PARKVIEW APARTMENTS
1175 MONET DR,BATON ROUGE,70806,,POINT (-91.11774026668 30.460952860468),MELROSE EAST APARTMENTS
710 E BOYD DR,BATON ROUGE,70808,,POINT (-91.177335783086 30.399843584335),UNIVERSITY VIEW APARTMENTS 2
3621 S COTTAGES AVE,BATON ROUGE,70816,,POINT (-91.055914323326 30.420334484468),COTTAGES AT SOUTHFORK APARTMENTS
12748 BROGDON LN,BATON ROUGE,70816,,POINT (-91.039002134387 30.40406896372),RELLIM PLACE APARTMENTS
"3002 MASON AVE, BLDG 107",BATON ROUGE,70805,,POINT (-91.160500262116 30.506227205673),MONTE SANO VILLAGE APARTMENTS
5134 CLAYCUT RD,BATON ROUGE,70806,,POINT (-91.136456788016 30.441082200959),PATRICIAN APARTMENTS
675 N CARROLLTON AVE,BATON ROUGE,70806,,POINT (-91.123778568969 30.455525910487),APARTMENTS
5159 CAPITAL HEIGHTS AVE,BATON ROUGE,70806,,POINT (-91.137059988022 30.442915851181),APARTMENTS
716 CAROL MARIE DR,BATON ROUGE,70806,,POINT (-91.153738302922 30.441207243855),THE VILLAS APARTMENTS
10037 AVENUE H,BATON ROUGE,70807,,POINT (-91.197338284679 30.535803500826),CRESTWORTH PLACE APARTMENTS
10390 JEFFERSON HWY,BATON ROUGE,70809,,POINT (-91.068063951812 30.407911464965),JEFFERSON ARMS APARTMENTS
15025 SHENANDOAH VIEW CT,BATON ROUGE,70817,,POINT (-91.016887678012 30.394350223371),APARTMENTS
7732 JEFFERSON PLACE BLVD,BATON ROUGE,70809,,POINT (-91.105218364289 30.419452696047),MAISON BOCAGE APARTMENTS AND TOWNHOMES
1309 N FOSTER DR,BATON ROUGE,70806,,POINT (-91.140159790831 30.460619653433),PROVINCIAL NORTH APARTMENTS
1860 BOULEVARD DE PROVINCE,BATON ROUGE,70816,,POINT (-91.046553128726 30.436360346215),CEDAR BROOK APARTMENTS
1950 BRADFIELD AVE,BATON ROUGE,70807,,POINT (-91.173149912131 30.556600066281),VILLAGE GREEN APARTMENTS 17
7342 N JEFFERSON PLACE CIR,BATON ROUGE,70809,,POINT (-91.104738146581 30.418732919222),MAISON BOCAGE APARTMENTS AND TOWNHOMES
1379 N FOSTER DR,BATON ROUGE,70806,,POINT (-91.140077305386 30.460155681743),PROVINCIAL NORTH APARTMENTS
5091 BAKER BLVD,BAKER,70714,,POINT (-91.147082859328 30.595252379982),GREENWOOD FOREST APARTMENTS
1205 N FOSTER DR,BATON ROUGE,70806,,POINT (-91.139796901546 30.459908137132),PROVINCIAL NORTH APARTMENTS
2500 GATES CIR,BATON ROUGE,70809,,POINT (-91.123738039613 30.423447075112),GATES AT CITIPLACE APARTMENTS
1343 N FOSTER DR,BATON ROUGE,70806,,POINT (-91.140366629208 30.460330998685),PROVINCIAL NORTH APARTMENTS
"3002 MASON AVE, BLDG 104",BATON ROUGE,70805,,POINT (-91.160005758499 30.506477340698),MONTE SANO VILLAGE APARTMENTS
"4915 ALVIN DARK AVE, BLDG 1520",BATON ROUGE,70820,,POINT (-91.179748654157 30.390558839065),SHARLO TERRACE APARTMENTS 1
7543 N JEFFERSON PLACE CIR,BATON ROUGE,70809,,POINT (-91.10663266411 30.419814601329),MAISON BOCAGE APARTMENTS AND TOWNHOMES
1704 BRIGHTSIDE DR,BATON ROUGE,70820,,POINT (-91.177380700038 30.388109880127),BRIGHTSIDE MANOR APARTMENTS
431 WEST DR,BATON ROUGE,70806,,POINT (-91.15141216951 30.44513721878),CHALET SOUTH APARTMENTS 1
10448 JEFFERSON HWY,BATON ROUGE,70809,,POINT (-91.067054983244 30.40817418579),NESSER GARDENS APARTMENTS
459 APARTMENT COURT DR,BATON ROUGE,70806,,POINT (-91.123229491339 30.446118573084),MARQUETTE APARTMENTS
1211 N FOSTER DR,BATON ROUGE,70806,,POINT (-91.140042687256 30.459902793602),PROVINCIAL NORTH APARTMENTS
2136 LOBDELL BLVD,BATON ROUGE,70806,,POINT (-91.117998753558 30.468061251695),ARDENDALE OAKS APARTMENTS
1702 BRIGHTSIDE DR,BATON ROUGE,70820,,POINT (-91.177195460977 30.388089582621),BRIGHTSIDE MANOR APARTMENTS
"2000 BRIGHTSIDE DR, BLDG 16",BATON ROUGE,70820,,POINT (-91.18059936923 30.388492344066),RETREAT AT BRIGHTSIDE APARTMENTS
724 S ACADIAN THWY,BATON ROUGE,70806,,POINT (-91.153011462234 30.441478523592),THE VILLAS APARTMENTS
3217 N ARDENWOOD DR,BATON ROUGE,70805,,POINT (-91.130582948712 30.478052815013),APARTMENTS
10928 ABINGTON AVE,BATON ROUGE,70816,,POINT (-91.059267546061 30.410722813731),SOUTHPARK APARTMENTS VIII
7824 JEFFERSON PLACE BLVD,BATON ROUGE,70809,,POINT (-91.103930835796 30.419667209307),MAISON BOCAGE APARTMENTS AND TOWNHOMES
7411 N JEFFERSON PLACE CIR,BATON ROUGE,70809,,POINT (-91.106275248877 30.418735567861),MAISON BOCAGE APARTMENTS AND TOWNHOMES
760 N DONMOOR AVE,BATON ROUGE,70806,,POINT (-91.11820626847 30.456571935523),SEBASTIAN PLACE APARTMENTS
7782 JEFFERSON PLACE BLVD,BATON ROUGE,70809,,POINT (-91.104558931324 30.419742306629),MAISON BOCAGE APARTMENTS AND TOWNHOMES
5850 JEFFERSON HWY,BATON ROUGE,70806,,POINT (-91.130213762463 30.440763234672),APARTMENTS
2136 LOBDELL BLVD,BATON ROUGE,70806,,POINT (-91.117998753558 30.468061251695),ARDENDALE OAKS APARTMENTS
614 CAROL MARIE DR,BATON ROUGE,70806,,POINT (-91.154849560713 30.442483545561),THE VILLAS APARTMENTS
151 S 16TH ST,BATON ROUGE,70802,,POINT (-91.17254275943 30.446902706087),MID CITY GARDENS APARTMENTS
4747 ANNETTE ST,BATON ROUGE,70805,,POINT (-91.133927111363 30.4939757131),EVANGELINE PLACE APARTMENTS
10954 DARRYL DR,BATON ROUGE,70815,,POINT (-91.061158823755 30.470221373827),SHERWOOD OAKS APARTMENTS
1712 BRIGHTSIDE DR,BATON ROUGE,70820,,POINT (-91.17715748652 30.388307877915),BRIGHTSIDE MANOR APARTMENTS
1271 N FOSTER DR,BATON ROUGE,70806,,POINT (-91.140899757233 30.460392608679),PROVINCIAL NORTH APARTMENTS
650 N ARDENWOOD DR,BATON ROUGE,70806,,POINT (-91.125612261981 30.455337238641),RENAISSANCE GATEWAY APARTMENTS
